TYPE,PLANETS,GREEK,ENGLISH,SENTIMENT
double,Jupiter Moon,ὠφελουμένους ἔκ γυναικῶν,benefit from women,good
double,Jupiter Moon,ὠφελουμένους ἔκ ἐπισήμων προσώπων,benefit from distinguished people,good
double,Jupiter Moon,εὐεργετουμένους ἀπὸ οἰκεων,treated well by family,good
double,Jupiter Moon,εὐεργετουμένους ἀπὸ τέκνων,treated well by fchildren,good
double,Jupiter Moon,δωρεῶν καταξιουμένους,thought worthy of gifts,good
double,Jupiter Moon,τιμῶν καταξιουμένους,thought worthy of honours,good
double,Jupiter Moon,χρηματοφύλακας,treasurers,good
double,Jupiter Moon,πολλὰ πιστευομένους δανειστικοὺς,people who lend much in trusts,good
double,Jupiter Moon,θησαυρῶν εὑρετάς,finders of treasure,good
double,Jupiter Moon,εὐχρηματίστους,wealthy,good
double,Jupiter Mars,ἐπιδόξους,glorious,good
double,Jupiter Mars,φαντασίωδες,showy,good
double,Jupiter Mars,φίλους μειζόνων,friends of the great,good
double,Jupiter Mars,φίλους βασιλέων,friends of kings,good
double,Jupiter Mars,στρατιωτικούς,generals,good
double,Jupiter Mars,ἐπισήμους,distinguished,good
double,Jupiter Mars,ὀψωνίων μετόχους,receivers of stipends,good
double,Jupiter Mars,ἐν δημοσίοις ἀναστροφὰς ποιουμένους,career in public affairs,good
double,Jupiter Mars,στρατιωτικοῖς ἀναστροφὰς ποιουμένους,career in campaigns,good
double,Jupiter Mars,τιμῆς καταξιομένους,worthy of honour,good
double,Jupiter Mars,δόξης καταξιουμένους,worthy of status,good
double,Jupiter Mars,ἀνωμάλους τῷ βίῳ,uncertain in livelihoods,bad
double,Jupiter Mars,ἀνωμάλους τῷ ἤθει,uncertain in characters,bad
double,Jupiter Mars,κτηθέντων ἀποβολὰς ποιουμένους,throwing away possessions,bad
double,Jupiter Venus,ἀγαθοί,good,good
double,Jupiter Venus,σύμφωνοι,in harmony,good
double,Jupiter Venus,περιποιητικοὶ δόξης,productive of rank,good
double,Jupiter Venus,περιποιητικοὶ ὠφελείας,productive of profit,good
double,Jupiter Venus,ἐπάγοντες ἐπικτήσεις,bringing acquisitions,good
double,Jupiter Venus,ἐπάγοντες δωρεάς,bringing gifts,good
double,Jupiter Venus,ἐπάγοντες κόσμους,bringing adornments,good
double,Jupiter Venus,σωμάτων δεσποτείας,control over slaves,good
double,Jupiter Venus,τέκνων γονάς,begetting of children,good
double,Jupiter Venus,ἀρχιερωσύνας,high priesthoods,good
double,Jupiter Venus,προστασίας ὄχλων,pre-eminence among masses,good
double,Jupiter Venus,στεμματηφορίας,honours of garlands,good
double,Jupiter Venus,χρυσοφορίας,gold crowns,good
double,Jupiter Venus,ἀδριάντων καταξιουμένους,worthy of statues,good
double,Jupiter Venus,εἰκόνων καταξιουμένους,worthy of images,good
double,Jupiter Venus,ἀνωμάλους περὶ γάμους καὶ τέκνα,uncertain in relationship with wife and children,bad
double,Jupiter Mercury,ἀγαθοί,good,good
double,Jupiter Mercury,σύμφωνοι,harmonious,good
double,Jupiter Mercury,διοικητικοί,supervisory,good
double,Jupiter Mercury,πραγμάτων οἰκονόμους,managers of affairs,good
double,Jupiter Mercury,ἐν πίστεσι γινομένους,in posts of trust,good
double,Jupiter Mercury,ἐν χειρισμοῖς γινομένους,in posts of administration,good
double,Jupiter Mercury,ἐπιτροπικούς,guardians,good
double,Jupiter Mercury,ἀπὸ λόγων ἀναγομένους,making career with documents,good
double,Jupiter Mercury,ἀπὸ ψήφων ἀναγομένους,making career with accounts,good
double,Jupiter Mercury,ἐν παιδείαις δοξαζομένους,respected in education,good
double,Jupiter Mercury,πολυφίλους ἐυσυστάτους,approachable with many friends,good
double,Jupiter Mercury,μισθῶν καταξιουμένους,worthy of pay,good
double,Jupiter Mercury,ὀψωνίων καταξιουμένους,worthy of stipends,good
double,Jupiter Mercury,θησαυρῶν εὑρετάς,finders of treasure,good
double,Jupiter Mercury,παραθηκῶν ὠφελουμένους δανειστικούς,moneylenders who profit from deposits,good
double,Sun Venus,σύμφωνοι,harmonious,good
double,Sun Venus,ἐπίδοξοι,glorious,good
double,Sun Venus,ἀγαθῶν δοτήρες,bestowers of good,good
double,Sun Venus,συστάσεις ἀρρενικῶν κὰι θηλυκῶν ,associations of male and female,good
double,Sun Venus,δωρεάς,gifts,good
double,Sun Venus,καταγραφάς,conveyances,good
double,Sun Venus,περὶ ἐπιβολὰς εὐεπιτεύκτους,successful in enterprises,good
double,Sun Venus,προστασίας ἀναλαμβάνοντες ὀχλικὰς,taking on leadership,good
double,Sun Venus,προστασίας ἀναλαμβάνοντες πίστεις,taking on trusts,good
double,Sun Venus,τόπων προεστῶτας,in charge of places,good
double,Sun Venus,ὀψωνίων καταξιουμένους,worthy of stipends,good
double,Sun Venus,περὶ γυναικὸς καὶ τέκνων οὐκ ἀλύπους,not without grief with respect to wife and children,bad
double,Venus Moon,ἀγαθοί περὶ δόξας,good with respect to rank,good
double,Venus Moon,ἀγαθοί περὶ περικτήσεις,good with respect to acquisitions,good
double,Venus Moon,ἀγαθοί περὶ πραγμάτων ἀφορμάς,good with respect to the start of business,good
double,Venus Moon,ἄστατοι περὶ συμβιώσεις,unsteady with respect to living together,bad
double,Venus Moon,ἄστατοι περὶ φιλίας,unsteady with respect to friendships,bad
double,Venus Moon,ἄστατοι περὶ συναρμογὰς,unsteady with respect to marriage,bad
double,Venus Moon,ἔχθρας ἐπιφέροντες,bringing rivalry,bad
double,Venus Moon,συγγενικῶν ἢ φίλων κακουργίας,ill treatment from relatives and friends,bad
double,Venus Moon,συγγενικῶν ἢ φίλων ταραχάς,upset from relatives and friends,bad
double,Venus Moon,οὐκ ἀγαθοί περὶ τέκνων,not good with respect to children,bad
double,Venus Moon,οὐκ ἀγαθοί περὶ σωμάτων,not good with respect to slaves,bad
double,Venus Moon,ἀπαραμόνους κτήσεις,possessions are fleeting,bad
double,Venus Moon,ψυχικὰς ἀνίας,mental anguish,bad
double,Mars Venus,ἀσύμφωνοι,at odds,bad
double,Mars Venus,ἀστάτους γνώμαις,mentally unstable,bad
double,Mars Venus,ἀκρατεῖς,weak,bad
double,Mars Venus,ζηλοτύπους,rivalries,bad
double,Mars Venus,αὐτόχειρας,murders,bad
double,Mars Venus,πολυφίλους,many friends,good
double,Mars Venus,ἐπιψόγους,blameworthy,bad
double,Mars Venus,αἰσχρούς,shameless,bad
double,Mars Venus,εὐμετανοήτους,fickle,bad
double,Mars Venus,ἀδιαφόρους μίξεσιν ἀρρενικῶν καὶ θηλυκῶν,prone to sex with men and women,bad
double,Mars Venus,κακουργίας,malicious,bad
double,Mars Venus,φαρμακείας ἐπηβόλους,plotters of poisonings,bad
double,Mars Venus,οὔτε καλοῖς οὔτε φαύλοις ἐμιμένοντας,remain with neither good nor bad,bad
double,Mars Venus,περὶ φιλίας διαβαλλομένους,slandered because of friendships,bad
double,Mars Venus,περὶ φιλίας κακολογουμένους,reviled because of friendships,bad
double,Mars Venus,εὐδαπάνους,spendthrift,bad
double,Mars Venus,ἀκροθιγεῖς περὶ πράξεις,flitting from one occupation to another,bad
double,Mars Venus,πολλῶν ἐπιθυμητάς,eager for many things,bad
double,Mars Venus,ὑπὸ θηλυκῶν ἀδικουμένους,wronged by women,bad
double,Mars Venus,θηλυκῶν χάριν κρίσεις ὑπομένοντας,suffer crises because of women,bad
double,Mars Venus,θηλυκῶν χάριν ταραχὰς ὑπομένοντας,suffer upsets because of women,bad
double,Mars Venus,θηλυκῶν χάριν χρεωστίας ὑπομένοντας,suffer debts because of women,bad
double,Venus Mercury,σύμφωνοι,harmonious,good
double,Venus Mercury,εὐομίλους,sociable,good
double,Venus Mercury,ἐπιχαρεῖς,gracious,good
double,Venus Mercury,φιλοφίλους,gregarious,good
double,Venus Mercury,φιληδόνους,hedonistic,good
double,Venus Mercury,περὶ παιδείαν νοῦν ἔχοντας,paying attention to education,good
double,Venus Mercury,περὶ σωφροσύνην νοῦν ἔχοντας,paying attention to sensibility,good
double,Venus Mercury,τιμὰς λαμβάνοντας,receiving honours,good
double,Venus Mercury,δωρεὰς λαμβάνοντας,receiving gifts,good
double,Venus Mercury,"τοῖς ἐν μετρίᾳ τύχῃ, καθεστηκόσι λήψεις","those of middling fortune, receiving of goods",good
double,Venus Mercury,"τοῖς ἐν μετρίᾳ τύχῃ, ἀγορασμοὺς","those of middling fortune, selling",good
double,Venus Mercury,"τοῖς ἐν μετρίᾳ τύχῃ, συναλλγὰς","those of middling fortune, exchanges",good
double,Venus Mercury,ἔπαισχρον βίον ,shameful livelihood,bad
double,Venus Mercury,περὶ γυναικὸς ἀστάτους,unsteady with respect to women,bad
double,Venus Mercury,περὶ γυναικὸς ἀδιαφόρους ,fickle with respect to women,bad
double,Venus Mercury,ἐυμετανοήτους περὶ συμβολάς (μετα γυναικῶν),changeable in agreements with women,bad
double,Sun Mercury,πολυφίλους,many friends,good
double,Sun Mercury,ὑποκριτικοὺς,adaptable,good
double,Sun Mercury,ποικίλους,flexible,good
double,Sun Mercury,ἐγκρατεῖς,self-controlled,good
double,Sun Mercury,ἐν δημοσίοις τόποις ἀναστροφὰς ἔχοντας,spend careers in public,good
double,Sun Mercury,καθαρίους,pure,good
double,Sun Mercury,περισσόφρονας,sensible,good
double,Sun Mercury,κριτικούς,of good judgement,good
double,Sun Mercury,καλῶν ἐραστάς,lovers of beauty,good
double,Sun Mercury,πολυΐστορας,learned,good
double,Sun Mercury,μύστας θείων,initiates into mysteries,good
double,Sun Mercury,εὐεργετικούς,beneficent,good
double,Sun Mercury,φιλοσυνήθεις,fond of associates,good
double,Sun Mercury,αὐτάρκεις,independent,good
double,Sun Mercury,θρασυδείλους,boastful,bad
double,Sun Mercury,γενναίως καταπίπτοντα φέροντας περὶ δόξας δυσεπιπτεύκτους,endure reversals nobly,good
double,Sun Mercury,ἀνωμάλους περὶ βίον,unsteady in livelihood,bad
double,Sun Mercury,ἐν ὑψοταπεινώμασι ,experiencing vicissitudes,bad
double,Sun Mercury,οὐκ ἀπόρους,not poverty-stricken,good
double,Sun Mercury,ἀναβιβάζοντας κατὰ γενέσεως ὑπόστατιν,find success proportional to basis of nativities,neutral
double,Mercury Moon,ἀγαθοί περὶ συστάσεις ἀρρενικῶν καὶ θηλυκῶν,good with respect to union of men and women,good
double,Mercury Moon,ἀγαθοί περὶ δόξας ἀρρενικῶν καὶ θηλυκῶν,good with respect to status of men and women,good
double,Mercury Moon,ἀγαθοί περὶ λόγου δύναμιν,good with respect to power of speech,good
double,Mercury Moon,ἀγαθοί περὶ παιδείας δύναμιν,good with respect to power of education,good
double,Mercury Moon,ἀγαθοί περὶ λοιπὰς ἐγχειρήσεις,good concerning commerce,good
double,Mercury Moon,ἀγαθοί περὶ συναλλαγάς,good concerning enterprises,good
double,Mercury Moon,κοινωνικοὺς,people who act together,good
double,Mercury Moon,μηχανικοὺς,resourceful,good
double,Mercury Moon,πολυπείρους,experienced,good
double,Mercury Moon,περιέργους,inquisitive,good
double,Mercury Moon,ἀπὸ μειζόνων τελῶν προβιβαζομένους,advance by great expenditure,good
double,Mercury Moon,πολυκινήτους,changeable,good
double,Mercury Moon,ἀνεπιμόνους πράξεσιν,not perservering in activities,bad
double,Mercury Moon,ἀνεπιμόνους γνώμαις πρὸς τὸ μέλλον,not perservering in intentions for future,bad
double,Mercury Moon,γενναίους πρὸς φαῦλα,noble in face of adversity,good
double,Mercury Moon,ἀνωμάλους περὶ βίον,unsteady in livelihood,bad
double,Mars Mercury,οὐκ ἀγαθοί,not good,bad
double,Mars Mercury,ἔχθρας,hostilities,bad
double,Mars Mercury,κρίσεις,judgements,bad
double,Mars Mercury,ἐναντιώματα,reversals,bad
double,Mars Mercury,κακοτροπίας,malice,bad
double,Mars Mercury,προδοσίας,betrayals,bad
double,Mars Mercury,ἀπὸ κρειττόνων ἢ ὑποτακτικῶν ἀδικουμένους,wrongs from superiors or inferiors,bad
double,Mars Mercury,ἀθλητικούς,athletes,good
double,Mars Mercury,στρατιωτικοὺς,generals,good
double,Mars Mercury,καθηγεμόνας,commanders,good
double,Mars Mercury,εὐεργετικούς,beneficent,good
double,Mars Mercury,περιέργους,inquisitive of occult,good
double,Mars Mercury,ποικίλως βίον περιερχομένους,varied livelihood,bad
double,Mars Mercury,γίνονται ἐν πλαστογραφίαις νοσφισμῶν,resort to forgery to embezzle,bad
double,Mars Mercury,ἁρπαγῆς,stealing,bad
double,Mars Mercury,συλήσεως,looting,bad
double,Mars Mercury,ἐγγύαις περιπίπτοντες,falling into debt,bad
double,Mars Mercury,δάνεσι περιπίπτοντες,falling into expenses,bad
double,Mars Mercury,περιβοησίας ἀναδέχονται,bring on themselves infamy,bad
double,Mars Mercury,κραυγὰς ἀναδέχονται,bring on themselves pursuit,bad
double,Mars Mercury ,ἐν αἰτίαις γενόμενοι,meet with accusations,bad
double,Mars Mercury ,ἐν συνοχαῖς γενόμενοι ,meet with imprisonment,bad
double,Mars Mercury,τῶν κτηθέντων ἀποβολὰς ὑπομένουσιν,suffer loss of goods,bad
double,Mars Mercury,τῶν κτηθέντων ἀφαιρέσεις ὑπομένουσιν,suffer confiscation of goods,bad
double,Sun Moon,ἀγαθοί,good,good
double,Sun Moon,συστάσεις μειζόνων,productive of associations,good
double,Sun Moon,δόξας ,high rank,good
double,Sun Moon,κτήσεις θεμελίων,possession of estates,good
double,Sun Moon,κτήσεις κτημάτων,possession of property,good
double,Sun Moon,κτήσεις χρημάτων,possession of money,good
double,Sun Moon,κτήσεις κόσμου,possession of adornment,good
double,Sun Moon,πρὸς ἐπιβολὰς πραγμάτων εὐεπιτεύκτος,successful in business enterprises,good
double,Sun Moon,ἐπωφελεῖς,receive profit,good
double,Sun Moon,ἀρχικοὶ πόλεων,leaders of cities,good
double,Sun Moon,πραγμάτων προϊστάμενοι,in charge of affairs,good
double,Sun Moon,ὄχλων προεστῶτες,pre-eminence among masses,good
double,Sun Moon,εὐφαντασίωτοι,high public image,good
double,Sun Moon,δωρηματικοί,munificent,good
double,Sun Moon,ἡγεμονικοί,governing,good
double,Sun Moon,τυρρανικοί,ruling,good
double,Sun Moon,ἀνυπότακτοι,unsurpassed,good
double,Sun Moon,βασιλικὸν κτῆμα,possessing kingly property,good
double,Sun Moon,βασιλικὸν φρόνημα,possessing kingly spirit,good
double,Sun Moon,ἀπὸ μετρίας τύχης ἀναβιβαζόμενοι,from middling fortune rise,good
double,Sun Moon,εὐδαίμονες γινόμενοι μακαρίζονται,are lucky and called blessed,good
double,Sun Moon,ἀνεπίμονον τὸ ἀγαθὸν ,good does not last,bad
triple,Saturn Jupiter Sun,ἀνωμαλος,unsteady,bad
triple,Saturn Jupiter Sun,ἀβέβαιος,insecure,bad
triple,Saturn Jupiter Sun,περικτηθέντων ἀποβολας,loss of possessions,bad
triple,Saturn Jupiter Sun,ἐπιφθόνοις ἀιτίας,bad rumours,bad
triple,Saturn Jupiter Sun,ἀδοκήτων ὠφελείας,unexpected help,good
triple,Saturn Jupiter Sun,νεκρικῶν ὠφελείας,help from legacies,good
triple,Saturn Jupiter Sun,δόξῃ προσαυξήσααντες,augment reputation,good
triple,Saturn Jupiter Sun,καθαιρέσεις,ruin,bad
triple,Saturn Jupiter Sun,αἰτίας,rumours,bad
triple,Saturn Jupiter Sun,αἰφνιδίους κινδύνους,sudden dangers,bad
triple,Saturn Jupiter Sun,ἐπιβουλάς,plots,bad
triple,Saturn Jupiter Sun,προστασίας,pre-eminence,good
triple,Saturn Jupiter Sun,ἐπιτροπὰς ἀλλοτρίων πραγμάτων,management of others' business,good
triple,Saturn Jupiter Sun,φορολογίας,tax gathering,good
triple,Saturn Jupiter Sun,μισθώσεις,salaries,good
triple,Saturn Jupiter Sun,ἀνωμαλος,unsteady,bad
triple,Saturn Jupiter Sun,ἐπιφοβος,worrying,bad
triple,Saturn Jupiter Moon,σύμφωνος,harmony,good
triple,Saturn Jupiter Moon,δόξας,rank,good
triple,Saturn Jupiter Moon,ὠφελείας,profit,good
triple,Saturn Jupiter Moon,συστάσεις μειζόνων,associations with the great,good
triple,Saturn Jupiter Moon,δωρεάς,gifts,good
triple,Saturn Jupiter Moon,ἐπι ξένης / ἀπο ξένων κατορθώσεις ἰδιων πραγμάτων,succeed abroad / with foreigners in own business,good
triple,Saturn Jupiter Moon,ἐπι ξένης / ἀπο ξένων κατορθώσεις ἀλλοτρίων πραγμάτων,succeed abroad / with foreigners in others' business,good
triple,Saturn Jupiter Moon,εὐεργετοῦνται ἀπο θηλυκῶν,benefit from women,good
triple,Saturn Jupiter Moon,περικτήσει θεμελίων καὶ χωρῶν,gain possession of estates and lands,good
triple,Saturn Jupiter Moon,ναύκληροι,be ship-owners,good
triple,Saturn Jupiter Moon,δι᾽ὑγρῶν διῳκονόμησαν βιον,get living from water,good
triple,Saturn Jupiter Mars,ἐνδόξους,famous,good
triple,Saturn Jupiter Mars,ἀρχιερατικούς,Like a high priest,good
triple,Saturn Jupiter Mars,ήγεμονικούς,governing,good
triple,Saturn Jupiter Mars,ἐπιτροπικούς,influential,good
triple,Saturn Jupiter Mars,προεστῶτας (ὄχλων καὶ χωρῶν καὶ στρατιωτικῶν),rulers (of crowds / lands / armies),good
triple,Saturn Jupiter Mars,οὐ κεκοσμημένους,not decorated (financially),bad
triple,Saturn Jupiter Mars,ἐναντιώμασι,reversals (subject to),bad
triple,Saturn Jupiter Mars,κατηγορίαις,accusations (subject to),bad
triple,Saturn Jupiter Mars,βιαίοις περικυλιομένους,violent confrontations,bad
triple,Saturn Jupiter Mars,ἐπιφοβος,worries,bad
triple,Saturn Jupiter Mars,κτημάτων,properties,good
triple,Saturn Jupiter Mars,θεμελίων,estates,good
triple,Saturn Jupiter Mars,νεκρικῶν ὠφελείας,benefit from dead,good
triple,Saturn Jupiter Mars,δόξαν ἥττονας,low reputation,bad
triple,Saturn Jupiter Venus,άγαθοι,good,good
triple,Saturn Jupiter Venus,ὠφέλιμοι,helpful in occupations,good
triple,Saturn Jupiter Venus,περικτητικοί,bring possessions,good
triple,Saturn Jupiter Venus,συστάσεις ἀρρενικῶν καὶ θηλυκῶν,associations of men and women,good
triple,Saturn Jupiter Venus,φιλίας,friendships,good
triple,Saturn Jupiter Venus,προβιβασμούς,advancement,good
triple,Saturn Jupiter Venus,νεκρικῶν εὐεργεσίας,benefits from legacies,good
triple,Saturn Jupiter Venus,ἐπιψόγους,slandered,bad
triple,Saturn Jupiter Venus,ἐπιφθόνους,envied,bad
triple,Saturn Jupiter Venus,ἀνωμάλους συναρμογάς,unstable marriages,bad
triple,Saturn Jupiter Venus,ψύξεις,embarrassments,bad
triple,Saturn Jupiter Venus,ἔχθρας,hostilities,bad
triple,Saturn Jupiter Venus,κρίσεις,judgements,bad
triple,Saturn Jupiter Venus,φιλοσυνήθεις,fond of associates,good
triple,Saturn Jupiter Venus,εὐσυμβιώτους,easy to live with,good
triple,Saturn Jupiter Venus,πολλαῖς ἡδομένους φιλίαις,much joy from friends,good
triple,Saturn Jupiter Venus,οὐ δια παντὸς εὐσταθοῦντους,not entirely tranquil,bad
triple,Saturn Jupiter Venus,οὐδε ἀλυπως,not without grief (from children / slaves),bad
triple,Saturn Jupiter Mercury,πρακτικοὺς,vigorous,good
triple,Saturn Jupiter Mercury,οἰκονομικούς,stewards,good
triple,Saturn Jupiter Mercury,πιστούς,trustworthy,good
triple,Saturn Jupiter Mercury,προεστῶτας ὄχλων,pre-eminent among crowds,good
triple,Saturn Jupiter Mercury,κελεὐοντας και ἐνακουομένους,commanding and obeyed,good
triple,Saturn Jupiter Mercury,χρημάτων χεριστὰς,handlers of money,good
triple,Saturn Jupiter Mercury,διευθυντάς λόγων ἤ ψήφων,directors of documents and accounts,good
triple,Saturn Jupiter Mercury,ἐλευθέριον ἤθος,independent nature,good
triple,Saturn Jupiter Mercury,ὑποκριτικὸν ἤθος,adaptable nature,good
triple,Saturn Jupiter Mercury,κακοῦργοι φαίνομενοι,appear malevolent,bad
triple,Saturn Jupiter Mercury,πανοῦργοι φαίνομενοι,appear wicked,bad 
triple,Saturn Jupiter Mercury,ἐπιθυμηται ἀλλοτρίων,covetous of others' property,bad
triple,Saturn Jupiter Mercury,παραιρέται,thievish,bad
triple,Saturn Jupiter Mercury,πλεονέκται,greedy,bad
triple,Saturn Jupiter Mercury,ταραχὰς ὑπομενοῦσι,suffer upsets,bad
triple,Saturn Jupiter Mercury,κρίσεις ὑπομενοῦσι,suffer judgements,bad
triple,Saturn Jupiter Mercury,χρεωστλιας ὄχλικας,public infamy,bad
triple,Saturn Jupiter Mercury,περιβοησίας ὄχλικας,public disgrace,bad
triple,Saturn Jupiter Mercury,πρᾶξιν εὐημερίᾳ,success in matters,good
triple,Saturn Jupiter Mercury,πιστει,trustworthy,good
triple,Saturn Jupiter Mercury,δωρεῶν καταξιωθέντες,worthy of gifts,good
triple,Saturn Jupiter Mercury,τιμῶν καταξιωθέντες,worthy of honours,good
triple,Saturn Jupiter Mercury,εὐμετάδοτον,generous,good
triple,Saturn Jupiter Mercury,ἰδιους και ἀλλοτρίους εὐεργετήσουσιν,benefit own and others,good
triple,Saturn Jupiter Mercury,μυστηρίων μεθέξουσι,take part in mysteries,neutral
triple,Saturn Jupiter Mercury,ἐννοηματικοι ἕσονται,follow curious arts,neutral
triple,Saturn Jupiter Mercury,ἀφέλειαν ἐμφαίνοντες,pretend to be straightforward,bad
triple,Saturn Mars Sun,βιαιων,forcible,neutral
triple,Saturn Mars Sun,ἐπικινδύνων,dangerous,bad
triple,Saturn Mars Sun,θρασεις,bold,good
triple,Saturn Mars Sun,ἁδρεπηβόλους,ambitious,good
triple,Saturn Mars Sun,κακούργους,wicked,bad
triple,Saturn Mars Sun,ἀθέους,atheists,bad
triple,Saturn Mars Sun,προδότας,traitors,bad
triple,Saturn Mars Sun,ἀνυποτάκτους,insubordinates,bad
triple,Saturn Mars Sun,μισοῖδίους,hate own family,bad
triple,Saturn Mars Sun,ἰδιας χωριζομένους,abandon own family,bad
triple,Saturn Mars Sun,ἐπηρειαις,slanders,bad
triple,Saturn Mars Sun,κινδυνοις,dangers,bad
triple,Saturn Mars Sun,ἀπὸ ὕψους πτώσεις,falls from high places,bad 
triple,Saturn Mars Sun,ἀπο τετραπόδων πτώσεις,falls from animals,bad
triple,Saturn Mars Sun,ἐμπρησμῶν φόβους,scared of burns,bad
triple,Saturn Mars Sun,ἐπιμοχθους,toilsome,bad
triple,Saturn Mars Sun,μη φυλασσοντας τα περικτώμενα,don't guard possessions,bad
triple,Saturn Mars Sun,ἀλλοτρίων ἐπιθυμητάς,covetous of others' property,bad
triple,Saturn Mars Sun,ἐκ κακῶν πορίζοντας,profit from crime,bad
triple,Saturn Mars Moon,παραβολους ἐν πραξεων,venturesome in business,good
triple,Saturn Mars Moon,ἐπιβολας,noble,good
triple,Saturn Mars Moon,δυσπεπτικους,ineffective,bad
triple,Saturn Mars Moon,ἐναντιωμασι περιτρπομενους,meeting reversals,bad
triple,Saturn Mars Moon,βιαιοις περιτρεπομενους,meeting reversals,bad
triple,Saturn Mars Moon,βιασι,violent,bad
triple,Saturn Mars Moon,φιλερημοι,reclusive,bad
triple,Saturn Mars Moon,κακοῦργοι,wicked,bad
triple,Saturn Mars Moon,ἁρπαγες,greedy,bad
triple,Saturn Mars Moon,λῃστρικον,thievish,bad
triple,Saturn Mars Moon,κρισι περιπιπτοντες,become defendents in trials,bad
triple,Saturn Mars Moon,συνεχων καταιτιασμῶν πεῖραν λαμβάνοντες,experiencing jail,bad
triple,Saturn Mars Moon,ἐπισινεις,injured,bad
triple,Saturn Mars Moon,ἐμπαθεῖς,diseased,bad
triple,Saturn Mars Moon,βιαιον τελος,violent death,bad
triple,Saturn Mars Venus,ἐπιτήδειοι κατ᾽ἀρχάς πράξεις,initially favourable for business,good
triple,Saturn Mars Venus,ἐπιτήδειοι κατ᾽ἀρχάς φιλίας,initially favourable for friendships,good
triple,Saturn Mars Venus,ἐπιτήδειοι κατ᾽ἀρχάς συναλλαγὰς ,initially favourable for associations,good
triple,Saturn Mars Venus,ὠφελειας,profit,good
triple,Saturn Mars Venus,δοξας,rank,good
triple,Saturn Mars Venus,συστασεις,political associations,good
triple,Saturn Mars Venus,ὑστερου ἐπιταραχοι,"later, disturbed",bad
triple,Saturn Mars Venus,επιδικοι,liable to lawsuits,bad
triple,Saturn Mars Venus,ἀντιζηλίας,liable to hatred/envy,bad
triple,Saturn Mars Venus,προδοσίας,liable to treachery,bad
triple,Saturn Mars Venus,καταιτιασμους ,become accusers,bad
triple,Saturn Mars Venus,ὑομενουσιν ἐχθρας ἀρρενικὰ καὶ θηλυκὰ,endure hostility from men and women,bad 
triple,Saturn Mars Venus,ψογοις ἀπαισχροις,shameful faults,bad
triple,Saturn Mars Venus,μοιχειάις,adultery,bad
triple,Saturn Mars Venus,περιβοησιας,subject of scandal,bad
triple,Saturn Mars Venus,δειγματισμοὺς,denunciated,bad
triple,Saturn Mars Venus,ἀθεμίτοις μιξεσι,unnatural fetishes / sexual vices,bad
triple,Saturn Mars Venus,συνιστορες κακουργων,criminal accomplices,bad
triple,Saturn Mars Venus,συνιστορες φαρμακων,accomplices in poisonings,bad
triple,Saturn Mars Mercury,κακουργίας,crime,bad
triple,Saturn Mars Mercury,δόλους,treachery,bad
triple,Saturn Mars Mercury,κρίσεις,judgements,bad
triple,Saturn Mars Mercury,ταραχάς,alarms,bad
triple,Saturn Mars Mercury,ἐγγυαις (γραπτων μυστικων),debt for scriptures / mysteries,bad
triple,Saturn Mars Mercury,ἀγῶνας,tribulations,bad
triple,Saturn Mars Mercury,καθαιρέσεις,ruin,bad
triple,Saturn Mars Mercury,δριμεῖς,keen,good
triple,Saturn Mars Mercury,εὐσυνέτους περὶ πράξεις,intelligent in business,good
triple,Saturn Mars Mercury,ποικίλως βιον,varied life,good
triple,Saturn Mars Mercury,κακολογουμενους δια βιαιους,maligned because of violence,bad
triple,Saturn Mars Mercury,ἐπιμόχθων πράξεων,toilsome business,bad
triple,Saturn Mars Mercury,ἐπικινδύνων πράξεων,dangerous business,bad
triple,Saturn Mars Mercury,ἐνδείαις περιπίπτοντες,fall into poverty,bad
triple,Saturn Mars Mercury,θεους βλασφημοῦσιν,blaspheme gods,bad
triple,Saturn Mars Mercury,ἐπίορκοι,oathbreakers,bad
triple,Saturn Mars Mercury,ἄθεοι,atheists,bad
triple,Saturn Mars Mercury,καταιτιασμους ,criminal charges,bad
triple,Saturn Mars Mercury,συνοχὰς,imprisonments,bad
triple,Saturn Mars Mercury,καθυπερτερήσουσιν ἑτερων,prevail in struggles for others,good
triple,Saturn Mars Mercury,ὠφεληθεντες ἀπο λογων,profit from documents,good
triple,Saturn Mars Mercury,ὠφεληθεντες ἀπο ψήφων,profit from accounts,good
triple,Saturn Mars Mercury,ὠφεληθεντες ἀπο στρατειων,profit from office,good
triple,Saturn Mars Mercury,τῷ βίῳ προαυξήσουσιν,increased livelihood,good
triple,Saturn Sun Venus,συστάσεων μεγαλων,lofty associations,good
triple,Saturn Sun Venus,συστάσεων τιμῶν,honours,good
triple,Saturn Sun Venus,συστάσεων πραξειν,good deeds,good
triple,Saturn Sun Venus,δοξῆς,high rank,good
triple,Saturn Sun Venus,προφανείας,distinction,good
triple,Saturn Sun Venus,προστασιας ὀχλικῆς,pre-eminence among masses,good
triple,Saturn Sun Venus,ἀπαράμονοι προς κτῆσιν,unstable with respect to property,bad
triple,Saturn Sun Venus,ἀνωμαλίας,ups and downs,bad
triple,Saturn Sun Venus,φιλίας διαλύουσιν,dissolve friendships,bad
triple,Saturn Sun Venus,βιου μειώσεις,reduction of livelihood,bad
triple,Saturn Sun Venus,δειγματισμοὺς θηλυκων,exposure because of women,bad
