TERM,TRANSLATION,TRIPLE,SENTIMENT,SPECIFICITY
___________ _______________ ___ _______ ________,fall into reversals through reckless decisions,Mar Su V,bad,
_______ _______________ ___ _______ ________,fall into hostilities through reckless decisions,Mar Su V,bad,
___________,widely experienced,Mar Su Mer,good,
______________ ____ _______ _______,inventive in business enterprises,Mar Su Mer,good,
_____________,careworn,Mar Su Mer,bad,
______________ ____ ___ ________ _________,unsuccessful in the goal of their decisions,Mar Su Mer,bad,
____________ ______________,prevail unexpectedly,Mar Su Mer,good,
________ _______,mentally unstable,Mar Su Mer,bad,
________,reckless,Mar Su Mer,bad,
_________,active,Mar Su Mer,good,
________,hot tempered,Mar Su Mer,bad,
"____ _______ _________ ______, ___________","after bringing charges against their enemies, they change their minds",Mar Su Mer,bad,
______ ____,cowardly character,Mar Su Mer,bad,
______________ ____,despicable character,Mar Su Mer,bad,
_________ ,control emotions,Mar Su Mer,good,
___________,play a part,Mar Su Mer,good,
_______ ____ ___ ___ _____ ___________,yield to those to whom they shouldn't,Mar Su Mer,bad,
________ ____ ___ ____ ,unstable in livelihood,Mar Su Mer,bad,
__________ _________ _____ _________ _____,"when they come into somebody else's control, they curse their own fate",Mar Su Mer,bad,
_________,skillful,Mar Moo Mer,good,
__________,ingenious,Mar Moo Mer,good,
______ ____ _______ __________,easily stirred to action,Mar Moo Mer,?,
____________,moving in all directions,Mar Moo Mer,?,
______ ________ ________,wanting to act quickly,Mar Moo Mer,?,
____________,remiss,Mar Moo Mer,bad,
__________,seekers of curious lore,Mar Moo Mer,?,
_________ ______ __________,participants in mysteries,Mar Moo Mer,?,
_________ _________ __________,partakers of secret knowledge,Mar Moo Mer,?,
_______,oppressors,Mar Moo Mer,bad,
_______,violent,Mar Moo Mer,bad,
____________,insubordinate,Mar Moo Mer,bad,
_________ __________,covetous of others' property,Mar Moo Mer,bad,
______ _____________,fall into accusations,Mar Moo Mer,bad,
_______ _____________,fall into suits for damages,Mar Moo Mer,bad,
_______ _____________,fall into trials,Mar Moo Mer,bad,
____________ _________ _____________,fall into dangerous situations,Mar Moo Mer,bad,
_______ _____ _______ ___________,experience alarms because of documents,Mar Moo Mer,bad,
_________ _____ _______ ___________,experience alarms because of money,Mar Moo Mer,bad,
___________ ,wealthy,Mar Moo Mer,good,
____________,lavish,Mar Moo Mer,good,
__ ___ ___________,failing in livelihood,Mar Moo Mer,bad,
